priority,topic,modality,tag,idx,trigger,stem
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,2413,CT shows no acute finding,"A 77-year-old woman with moderate AD (MMSE 18) falls at her assisted living facility, striking her occiput on concrete. Initial GCS 15, no focal deficits. CT shows no acute finding"
1,Geriatric Emergency Medicine,CT/MRI,Hazzard,2415,"CT head negative. Labs: Na 128, glucose 92, Cr 1.4 (baseline 0.9). Which finding","A 78-year-old woman presents to ED after being found on floor by neighbor, last seen normal 12 hours prior. She's confused, repeatedly asking 'where's my mother?' (deceased 20 year"
1,Geriatric Emergency Medicine,EEG,Hazzard,2419,EEG shows left temporal sharp waves. MRI reveals,An 83-year-old man with CKD stage 3b (eGFR 42) and remote TBI (motorcycle accident age 25) presents with first-ever seizure. Wife reports increasing forgetfulness over 2 years. EEG
1,Geriatric Emergency Medicine,ECG,Harrison,3065,ECG shows,"An 84-year-old man with NYHA III heart failure (EF 30%), CKD stage 4 (eGFR 22), and moderate frailty (CFS 6) presents to the ED with confusion and hypotension. His daughter reports"
1,Geriatric Emergency Medicine,EEG,Harrison,3075,EEG shows,"An 86-year-old nursing home resident with advanced Parkinson's disease, dysphagia, and frequent falls is admitted with distributive shock from aspiration pneumonia. CrCl 42 mL/min."
1,Geriatric Emergency Medicine,ECG,Harrison,3078,EKG shows,"A 77-year-old woman with COPD, CKD stage 3a (eGFR 45), and depression on sertraline presents with distributive shock. Blood cultures grow E. coli sensitive to ciprofloxacin and cef"
1,COPD & Pulmonary,CXR,Hazzard,2634,CXR shows,A 78-year-old man with severe COPD (FEV1 35% predicted) presents to the ED with acute dyspnea and confusion. His daughter reports he has been increasingly forgetful over 2 days and
1,COPD & Pulmonary,CXR,Hazzard,2637,CXR shows,"An 84-year-old nursing home resident with severe COPD, moderate vascular dementia (MMSE 18), and CKD stage 4 (eGFR 22) is brought to the ED with acute dyspnea. He appears uncomfort"
1,COPD & Pulmonary,ECG,Hazzard,2644,ECG shows,"A 78-year-old woman with COPD (FEV1 42% predicted) and MCI presents after a fall with hip fracture. Post-operatively, she develops delirium and is treated with haloperidol. On hosp"
1,COPD & Pulmonary,CXR,Hazzard,2657,CXR shows,"An 82-year-old woman with COPD (FEV1 38%), depression, and recent hip fracture (3 weeks post-repair) is transferred from rehabilitation to ED with worsening dyspnea. She's been rec"
1,COPD & Pulmonary,ECG,Hazzard,2661,ECG shows,An 85-year-old man with severe COPD on 4L continuous oxygen presents with progressive dyspnea over 2 weeks despite optimal bronchodilators. He can no longer shower independently. H
1,COPD & Pulmonary,CXR,Harrison,2936,CXR shows,"A 75-year-old man with COPD, diabetes, and mild dementia presents from his assisted living facility with confusion and dyspnea. His aide reports he's been using his rescue inhaler "
1,COPD & Pulmonary,CXR,Harrison,2942,CXR shows,An 85-year-old man with severe COPD (on 2L home oxygen) and frailty (Clinical Frailty Scale 6) presents with 2 weeks of worsening dyspnea. He's had 3 admissions in 6 months. He can
1,COPD & Pulmonary,ECG,Harrison,2943,ECG shows,"A 78-year-old man with COPD, coronary disease (stent 2 years ago), and CKD stage 3 (eGFR 45) presents with dyspnea and chest pressure. ECG shows new T-wave inversions. Troponin is "
1,COPD & Pulmonary,CXR,Harrison,2945,CXR shows,"An 83-year-old nursing home resident with severe COPD, moderate Alzheimer's disease, and recurrent aspirations is brought in with fever and hypoxia. CXR shows RLL consolidation. He"
1,Chronic Kidney Disease,ECG,Hazzard,2671,ECG shows,An 80-year-old man with CKD stage 4 (eGFR 26 mL/min/1.73m²) presents with 3 days of weakness and nausea. He recently started spironolactone for heart failure. Labs: potassium 6.8 m
1,Chronic Kidney Disease,ECG,Harrison,2951,ECG shows,A 79-year-old man with CKD stage 4 (eGFR 18) presents with weakness and nausea. He recently started trimethoprim-sulfamethoxazole for prostatitis. Other medications: lisinopril 10m
1,Chronic Kidney Disease,CXR,Harrison,2962,CXR shows,"A 77-year-old woman with CKD stage 3b (CrCl 38 mL/min) and recurrent UTIs is prescribed nitrofurantoin 100mg BID for cystitis prophylaxis by her urologist. Two months later, she pr"
1,Chronic Kidney Disease,ECG,Harrison,2974,ECG shows,"A 79-year-old woman with diabetes, CAD, and CKD stage 4 (eGFR 26) presents with progressive weakness and nausea. Labs reveal: pH 7.30, HCO3- 15, K+ 5.7, BUN 68, Cr 3.8 (baseline 3."
1,Chronic Kidney Disease,CXR,Harrison,3098,CXR shows,"An 85-year-old woman with advanced COPD on 2L home oxygen, CKD stage 3b (eGFR 36), and frailty (meets 4/5 Fried criteria) presents with 3 days of worsening dyspnea and cough. She l"
1,Chronic Kidney Disease,Smear/Histopath,Harrison,3101,microscopy shows,"A 78-year-old man with CKD stage 3a (eGFR 45) is hospitalized with pneumonia. On day 2, the nurse reports decreased urine output. Morning labs: SCr 2.1 (admission 1.3, baseline 1.3"
1,Chronic Kidney Disease,ECG,Harrison,3105,ECG shows,A 79-year-old woman with hypertension and mild cognitive impairment is brought to the ED after being found on the floor at home. She last remembers eating breakfast yesterday. Init
1,Chronic Kidney Disease,CXR+US,Harrison,3106,CXR shows,"An 81-year-old man with COPD, CKD stage 3a, and depression is admitted with acute dyspnea. CXR shows pulmonary edema. He's never had heart problems. Echo reveals EF 25% with global"
1,Chronic Kidney Disease,ECG,Harrison,3111,ECG shows,A 77-year-old woman is brought to the ED by her son who reports she hasn't been herself for 2 days - sleeping more and confused about dates. She has CKD stage 4 (eGFR 24 mL/min/1.7
1,Anemia,Smear/Histopath,Hazzard,1559,Peripheral blood smear shows,"A 68-year-old man presents with progressive fatigue over 8 months. Laboratory evaluation reveals pancytopenia with hemoglobin 7.8 g/dL, white blood cell count 2.1×10³/μL, and plate"
1,Anemia,Smear/Histopath,Hazzard,2820,Bone marrow biopsy reveals,"A 77-year-old woman with CKD stage 3a (eGFR 48) presents with fatigue and recurrent infections. CBC shows Hb 9.8 g/dL, MCV 88 fL, normal WBC differential, platelets 95,000. Bone ma"
1,Anemia,CT/MRI,Hazzard,2826,MRI brain shows,A 76-year-old man with polycythemia vera on hydroxyurea presents for follow-up. He reports new difficulty remembering appointments and managing finances. Wife confirms progressive 
1,Anemia,Smear/Histopath,Hazzard,2827,Peripheral smear shows,"An 85-year-old woman with mild dementia and osteoporosis is admitted after a fall with hip fracture. Preoperative labs: Hb 9.2 g/dL, MCV 102 fL, platelets 580,000, WBC 13,000. Peri"
1,Anemia,CXR,Hazzard,2835,Chest X-ray shows,"A 76-year-old man with follicular lymphoma in remission, diabetes, and CKD stage 3b (eGFR 36) presents with 4 days of fever and productive cough. Chest X-ray shows right lower lobe"
1,Anemia,CXR,Hazzard,2839,CXR shows,A 75-year-old man with CML on dasatinib for 3 years presents with progressive dyspnea over 2 months. He also reports 15-pound weight loss and difficulty walking to his mailbox (pre
1,Anemia,CT/MRI,Harrison,2982,CT head shows,"A 77-year-old man with CAD, AFib on warfarin, and mild dementia is brought to the ED by his wife after she found him confused this morning. She reports he fell yesterday but seemed"
1,Anemia,CXR,Harrison,2985,CXR shows,"An 88-year-old man with severe COPD on home oxygen, CHF (EF 25%), and mild dementia is brought to the ED by his son with worsening dyspnea over 2 days. He's DNR but wants 'everythi"
1,Osteoarthritis,Smear/Histopath,Hazzard,2266,Gram stain shows,"A 83-year-old man presents 6 weeks after left knee corticosteroid injection with worsening pain and new knee swelling. Temperature 37.8°C. The knee is warm, erythematous with large"
1,Osteoarthritis,CT/MRI,Hazzard,2268,MRI brain shows,A 75-year-old woman is seen 4 months after bilateral knee replacements. She reports good pain relief but new difficulty remembering appointments and managing finances. Her daughter
1,Osteoarthritis,CXR,Harrison,3138,CXR shows,"An 84-year-old man with rheumatoid arthritis on methotrexate presents with 3 months of progressive weakness, 8 kg weight loss, and new-onset fever. He reports difficulty buttoning "
1,Osteoarthritis,Smear/Histopath,Harrison,3140,biopsy shows,"An 81-year-old nursing home resident with moderate dementia (unable to dress independently) presents with purpuric rash on legs, abdominal pain, and hematuria. She was treated for "
1,Osteoarthritis,Smear/Histopath,Harrison,3141,biopsy shows,"A 77-year-old man with CKD stage 4 (eGFR 22) presents with palpable purpura, arthralgias, and acute kidney injury (Cr increased from 2.8 to 4.2). He has chronic hepatitis C. Cryogl"
1,Osteoarthritis,CXR,Harrison,3142,CXR shows,"An 85-year-old woman is admitted with fever, confusion, and mononeuritis multiplex. She has lost 6kg and can no longer prepare meals independently (IADL decline). Labs: WBC 18k wit"
1,Osteoarthritis,Smear/Histopath,Harrison,3151,biopsy shows,"An 80-year-old man with CKD stage 4 (eGFR 24, Cr 2.9) and peripheral vascular disease presents with painful necrotic toes and livedo reticularis after cardiac catheterization 3 wee"
1,Biology of Aging,Derm,Hazzard,1653,vesicular rash,An 68-year-old man with a history of organ transplant (kidney) 5 years ago presents with a painful vesicular rash on the right side of his chest following a T4-T6 dermatomal distri
1,Biology of Aging,Derm,Hazzard,1659,vesicular rash,A 71-year-old man with multiple myeloma on maintenance lenalidomide therapy has never had chickenpox but was recently exposed to his grandson who developed varicella. He asks about
1,Biology of Aging,CT/MRI,Hazzard,1709,MRI brain shows,An 81-year-old woman is evaluated for progressive difficulty with IADLs over 6 months. Her daughter reports she stopped managing finances after multiple errors and needs help with 
1,Biology of Aging,CXR,Hazzard,1714,CXR shows,"A 73-year-old woman with diabetes and CKD stage 3a (eGFR 52) is admitted with COVID-19 pneumonia requiring 4L oxygen. CXR shows bilateral infiltrates. D-dimer elevated at 1,200. Sh"
1,Biology of Aging,CXR,Hazzard,1716,CXR shows,"A 78-year-old woman with COPD on home oxygen presents to ED with increased dyspnea and purulent sputum. Current medications include tiotropium, budesonide/formoterol, albuterol PRN"
1,Biology of Aging,CT/MRI,Hazzard,1787,MRI shows mild hippocampal atrophy. What finding,"A 75-year-old woman is brought to clinic by her daughter who is concerned about memory loss. The patient forgot to pay bills twice and got lost driving to church. MMSE 24/30, missi"
1,Frailty & Sarcopenia,Smear/Histopath,Hazzard,1487,biopsy reveals,An 80-year-old woman with sarcopenia participates in a research study examining cellular changes in aging muscle. Muscle biopsy reveals reduced size and number of myofibers with de
1,Community & Long-Term Care,ECG,Hazzard,1817,ECG shows,"An 88-year-old man is admitted from home after being found on the floor by his neighbor. He lives alone, last seen normal 18 hours ago. He's confused, unable to provide history. T "
1,Community & Long-Term Care,CXR,Hazzard,1821,CXR shows,"An 85-year-old man with HFpEF, CAD, and diabetes presents to the ED with shortness of breath. BNP 890, Cr 1.9 (baseline 1.4). CXR shows pulmonary edema. Home medications include fu"
1,Community & Long-Term Care,CXR,Hazzard,1895,CXR shows,"An 83-year-old woman with severe COPD on 3L home O2, mild dementia, and failure to thrive is brought to the ED by her daughter for increased confusion and falls over 2 days. Vitals"
1,Stroke,EEG,Harrison,3154,EEG shows,"An 84-year-old woman is brought by family after 3 generalized seizures over 2 days. She has mild Alzheimer's (MMSE 22), HTN, and osteoporosis. Medications: donepezil 10mg, amlodipi"
1,Stroke,CT/MRI+EEG,Harrison,3156,CT head negative. EEG shows,"An 81-year-old woman presents after first-lifetime seizure. Witness describes 2-minute generalized tonic-clonic event with post-ictal confusion. PMH: HTN, hyperlipidemia, CKD stage"
1,Stroke,CT/MRI,Harrison,3168,CT shows no hemorrhage. CTA reveals,A 78-year-old man with mild cognitive impairment (MoCA 22) and CKD stage 3a (eGFR 45) presents to the ED 3 hours after sudden onset right hemiparesis and aphasia. NIHSS score is 12
1,Stroke,CT/MRI,Harrison,3169,"CT shows no hemorrhage, CTA shows right M1 occlusion, and CT perfusion shows",An 84-year-old woman is found down at home by her daughter after last being seen normal 18 hours ago. She has left hemiplegia and neglect. Past medical history includes AF on apixa
1,Dementia,ECG,2022,34,הולטר אק,"בן88 סובל מ-ALZHEIMER DISEASE. בשנה האחרונה המטופל התעלף פעמיים במהלך היום. בוצע הולטר אק\""ג שהדגים נטייה לברדיקרדיה בלילה. מכל התרופות האפשריות לטיפול בדמנציה איזו תרופה איננה מומ"
1,Dementia,ECG,2020,797,הולטר,"בן 82 ,פנה לרופא המשפחה עקב אירועים חוזרים של התעלפות. ברקע - סובל מיתר ל\""ד, השמנת יתר, סוכרת ודמנציה. תרופות קבועות: RAMIPRIL (TRITACE) LERCANIDIPINE ( VASODIP) MEMANTIN ( MEMOX)"
1,Dementia,CXR,Hazzard,2382,CXR shows,"A 81-year-old woman with moderate Alzheimer's dementia (FAST stage 6a) and advanced Parkinson's disease is admitted with aspiration pneumonia. She's bedbound, requires feeding assi"
1,Dementia,CT/MRI,Hazzard,2404,MRI brain shows bilateral frontal and anterior temporal atrophy. Family history ,"A 75-year-old woman is evaluated for cognitive decline and personality changes over 2 years. Her son reports she has become disinhibited, making inappropriate comments to strangers"
1,Nutrition & Malnutrition,CXR,Hazzard,2024,Chest X-ray shows,An 82-year-old man in skilled nursing for stroke rehabilitation develops acute confusion and agitation during dinner. Staff report he was pocketing food in his cheeks and suddenly 
1,Nutrition & Malnutrition,CXR,Hazzard,2028,CXR shows,A 73-year-old man with Parkinson's disease and diabetes presents to the ED with fever and cough. His wife reports increasing confusion over 3 days and difficulty swallowing medicat
1,Nutrition & Malnutrition,CXR,Hazzard,2041,CXR shows,An 86-year-old nursing home resident with severe Alzheimer's (FAST 7a) and dysphagia is brought to the ED with aspiration pneumonia. This is her third admission in 2 months. CXR sh
1,Perioperative Care,ECG,Hazzard,1981,ECG shows,"An 86-year-old man with severe aortic stenosis (valve area 0.7 cm²), CKD stage 3b (eGFR 36), and HFpEF undergoes TAVR. Post-procedure day 1: new confusion, not following commands. "
